First_pokemon,Name_first,Type 1_first,Type 2_first,Generation_first,Legendary_first,Second_pokemon,Name_second,Type 1_second,Type 2_second,Generation_second,Legendary_second,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Winner
668,Beheeyem,Psychic,,5,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,1,1,2,2
502,Skorupi,Poison,Bug,4,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,2,1,1,1
788,Gourgeist Super Size,Ghost,Grass,6,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,2,1,2,2
317,Shedinja,Bug,Ghost,3,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,1,1,2,2,2,2
271,Ho-oh,Fire,Flying,2,TRUE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,1,1,1,1
37,Nidoqueen,Poison,Ground,1,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,1,1,1,1
761,Skrelp,Poison,Water,6,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,2,1,2,2
434,Grotle,Grass,,4,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,2,1,2,2
52,Paras,Bug,Grass,1,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,2,1,2,2
323,Azurill,Normal,Fairy,3,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,2,2,2,2,2
45,Jigglypuff,Normal,Fairy,1,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,2,2,2,2,2,2
65,Arcanine,Fire,,1,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,1,1,1,1
725,Froakie,Water,,6,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,2,1,1,1,1
79,Tentacool,Water,Poison,1,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,2,2,1,1,1
277,Torchic,Fire,,3,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,2,1,1,2,2
297,Seedot,Grass,,3,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,2,2,2,2
297,Seedot,Grass,,3,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,2,2,2,2
59,Persian,Normal,,1,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,1,1,1,1
383,Milotic,Water,,3,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,2,1,1,1,1,1
515,Lickilicky,Normal,,4,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,1,1,2,2
256,Tyrogue,Fighting,,2,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,2,2,2,2,2
361,Vibrava,Ground,Dragon,3,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,2,1,1,1
117,Lickitung,Normal,,1,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,2,1,2,1,2,2
157,Articuno,Ice,Flying,1,TRUE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,1,1,1,1
227,Granbull,Fairy,,2,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,2,1,2,2
494,Garchomp,Dragon,Ground,4,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,1,1,1,1
759,Binacle,Rock,Water,6,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,2,1,2,2
255,Smeargle,Normal,,2,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,2,2,1,1,1
645,Vanillish,Ice,,5,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,1,1,2,2
189,Igglybuff,Normal,Fairy,2,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,2,2,2,2,2,2
156,Snorlax,Normal,,1,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,1,1,2,2
477,Mega Lopunny,Normal,Fighting,4,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,1,1,2,1,1,1
474,Drifblim,Ghost,Flying,4,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,1,1,1,1
203,Hoppip,Grass,Flying,2,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,2,2,1,2,2
345,Roselia,Grass,Poison,3,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,1,1,1,1
506,Carnivine,Grass,,4,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,1,1,2,2
561,Oshawott,Water,,5,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,1,1,2,2
608,Whimsicott,Grass,Fairy,5,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,1,1,1,1
67,Poliwhirl,Water,,1,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,2,1,1,1
663,Klinklang,Steel,,5,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,1,1,1,1,1,1
620,Crustle,Bug,Rock,5,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,1,1,1,1,2,2
757,Inkay,Dark,Psychic,6,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,2,1,2,2
266,Larvitar,Rock,Ground,2,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,2,2,2,2
701,Terrakion,Rock,Fighting,5,TRUE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,1,1,2,2
609,Petilil,Grass,,5,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,1,2,2,2
181,Ledian,Bug,Flying,2,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,1,1,2,2
376,Baltoy,Ground,Psychic,3,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,2,1,2,2
376,Baltoy,Ground,Psychic,3,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,2,1,2,2
360,Trapinch,Ground,,3,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,1,2,2,2,2,2
360,Trapinch,Ground,,3,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,1,2,2,2,2,2
686,Pawniard,Dark,Steel,5,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,1,2,2,2,2
600,Sawk,Fighting,,5,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,2,1,2,2
306,Gardevoir,Psychic,Fairy,3,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,2,1,1,1,2,2
537,Mow Rotom,Electric,Grass,4,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,1,1,1,2,2
83,Golem,Rock,Ground,1,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,1,1,2,2
158,Zapdos,Electric,Flying,1,TRUE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,1,1,2,2
58,Meowth,Normal,,1,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,2,2,2,2
625,Cofagrigus,Ghost,,5,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,1,1,1,2,2
421,Mega Latios,Dragon,Psychic,3,TRUE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,1,1,2,2
4,Mega Venusaur,Grass,Poison,1,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,1,1,2,2
305,Kirlia,Psychic,Fairy,3,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,1,1,2,2
668,Beheeyem,Psychic,,5,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,2,1,1,1,2,2
337,Mega Medicham,Fighting,Psychic,3,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,1,1,1,1,2,2
228,Qwilfish,Water,Poison,2,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,1,1,2,2
548,Phione,Water,,4,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,2,1,1,1,2,2
29,Ekans,Poison,,1,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,2,1,2,2
317,Shedinja,Bug,Ghost,3,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,1,2,2,2,2,2
567,Herdier,Normal,,5,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,2,1,2,1,2,2
567,Herdier,Normal,,5,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,2,1,2,1,2,2
692,Mandibuzz,Dark,Flying,5,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,2,1,1,1,2,2
409,Salamence,Dragon,Flying,3,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,1,1,2,2
641,Reuniclus,Psychic,,5,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,2,1,1,1,2,2
10,Squirtle,Water,,1,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,1,2,1,2,2
458,Burmy,Bug,,4,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,2,2,2,2
430,DeoxysAttack Forme,Psychic,,3,TRUE,301,Swellow,Normal,Flying,3,FALSE,2,1,2,1,2,1,1
643,Swanna,Water,Flying,5,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,1,1,2,2
751,Aegislash Blade Forme,Steel,Ghost,6,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,1,2,1,2,2,2
612,Sandile,Ground,Dark,5,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,2,2,2,2
49,Oddish,Grass,Poison,1,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,1,1,2,2
522,Leafeon,Grass,,4,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,1,1,2,2
145,Eevee,Normal,,1,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,2,1,2,2
81,Geodude,Rock,Ground,1,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,1,2,2,2,2
390,Dusclops,Ghost,,3,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,1,1,1,2,2
281,Mudkip,Water,,3,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,2,2,2,2
613,Krokorok,Ground,Dark,5,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,2,2,2,2
414,Mega Metagross,Steel,Psychic,3,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,1,1,2,2
603,Leavanny,Bug,Grass,5,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,1,1,2,2
163,Mewtwo,Psychic,,1,TRUE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,1,1,1,1
299,Shiftry,Grass,Dark,3,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,1,2,1,1,2,2
651,Escavalier,Bug,Steel,5,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,1,1,2,1
444,Staraptor,Normal,Flying,4,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,2,1,2,2
218,Wobbuffet,Psychic,,2,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,2,2,2,1,2,2
395,Wynaut,Psychic,,3,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,2,2,2,2,2,2
43,Vulpix,Fire,,1,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,2,1,2,2
108,Kingler,Water,,1,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,1,1,2,2,2,2
177,Furret,Normal,,2,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,2,1,2,1,2,2
312,Slakoth,Normal,,3,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,2,2,2,2
88,Mega Slowbro,Water,Psychic,1,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,2,1,1,1,2,2
332,Lairon,Steel,Rock,3,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,1,1,2,2,2,1
57,Dugtrio,Ground,,1,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,2,1,2,2
599,Throh,Fighting,,5,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,2,1,2,1
506,Carnivine,Grass,,4,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,1,1,2,2
284,Mega Swampert,Water,Ground,3,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,1,1,2,2
353,Numel,Fire,Ground,3,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,1,2,2,2
128,Goldeen,Water,,1,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,2,2,2,2
507,Finneon,Water,,4,FALSE,301,Swellow,Normal,Flying,3,FALSE,2,2,2,2,1,2,2
598,Seismitoad,Water,Ground,5,FALSE,301,Swellow,Normal,Flying,3,FALSE,1,1,1,1,1,2,2
266,Larvitar,Rock,Ground,2,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,2,1,1,1
192,Natu,Psychic,Flying,2,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
563,Samurott,Water,,5,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
626,Tirtouga,Water,Rock,5,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,2,1
536,Fan Rotom,Electric,Flying,4,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
161,Dragonair,Dragon,,1,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
493,Gabite,Dragon,Ground,4,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
758,Malamar,Dark,Psychic,6,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
153,Kabutops,Rock,Water,1,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
488,Mime Jr.,Psychic,Fairy,4,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,2,2,1,1,1,1,1
779,Phantump,Ghost,Grass,6,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,2,2
211,Quagsire,Water,Ground,2,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,2,2
568,Stoutland,Normal,,5,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,2,1,1,1
789,Bergmite,Ice,,6,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,2,2,2,2
534,Wash Rotom,Electric,Water,4,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
668,Beheeyem,Psychic,,5,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,2,2
410,Mega Salamence,Dragon,Flying,3,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
572,Simisage,Grass,,5,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
38,Nidoran♂,Poison,,1,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,2,1,1,1
18,Kakuna,Bug,Poison,1,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,2,1,2,2,2,2
707,Reshiram,Dragon,Fire,5,TRUE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
29,Ekans,Poison,,1,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,2,1,1,1
462,Mothim,Bug,Flying,4,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
454,Cranidos,Rock,,4,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,2,2,1,1
688,Bouffalant,Normal,,5,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,2,1,1,1
632,Zorua,Dark,,5,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
441,Empoleon,Water,Steel,4,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
427,Mega Rayquaza,Dragon,Flying,3,TRUE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
521,Yanmega,Bug,Flying,4,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
521,Yanmega,Bug,Flying,4,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
111,Exeggcute,Grass,Psychic,1,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,2,2
282,Marshtomp,Water,Ground,3,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
101,Haunter,Ghost,Poison,1,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
340,Mega Manectric,Electric,,3,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
86,Slowpoke,Water,Psychic,1,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,2,1,2,1
102,Gengar,Ghost,Poison,1,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
335,Meditite,Fighting,Psychic,3,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,2,1,1,1
696,Zweilous,Dark,Dragon,5,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,2
411,Beldum,Steel,Psychic,3,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,2,1,2,2
515,Lickilicky,Normal,,4,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
691,Vullaby,Dark,Flying,5,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,2,1,1,1
296,Ludicolo,Water,Grass,3,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
175,Feraligatr,Water,,2,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
656,Alomomola,Water,,5,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,2,1,1,1
759,Binacle,Rock,Water,6,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,2,1,1,1
759,Binacle,Rock,Water,6,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,2,1,1,1
711,Kyurem,Dragon,Ice,5,TRUE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
635,Cinccino,Normal,,5,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
590,Excadrill,Ground,Steel,5,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
448,Kricketune,Bug,,4,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
449,Shinx,Electric,,4,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,2,2,1,1
44,Ninetales,Fire,,1,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
682,Mienshao,Fighting,,5,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
444,Staraptor,Normal,Flying,4,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
95,Dewgong,Water,Ice,1,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
418,Latias,Dragon,Psychic,3,TRUE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
418,Latias,Dragon,Psychic,3,TRUE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
756,Slurpuff,Fairy,,6,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
777,Goodra,Dragon,,6,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
43,Vulpix,Fire,,1,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
705,Thundurus Incarnate Forme,Electric,Flying,5,TRUE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
341,Plusle,Electric,,3,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
60,Psyduck,Water,,1,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
553,Arceus,Normal,,4,TRUE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
673,Fraxure,Dragon,,5,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,2,1,1,1
235,Teddiursa,Normal,,2,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,2,2
135,Electabuzz,Electric,,1,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
7,Charizard,Fire,Flying,1,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
229,Scizor,Bug,Steel,2,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
329,Mawile,Steel,Fairy,3,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
204,Skiploom,Grass,Flying,2,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,2,1,1,1
259,Elekid,Electric,,2,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
128,Goldeen,Water,,1,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,2,1,1,1
392,Chimecho,Psychic,,3,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
320,Exploud,Normal,,3,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
77,Weepinbell,Grass,Poison,1,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
747,Meowstic Male,Psychic,,6,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,1,1
775,Goomy,Dragon,,6,FALSE,304,Ralts,Psychic,Fairy,3,FALSE,1,1,1,1,1,2,2
266,Larvitar,Rock,Ground,2,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,2,2,2,2
563,Samurott,Water,,5,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,1,1,1,1
455,Rampardos,Rock,,4,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,2,2,2,2
569,Purrloin,Dark,,5,FALSE,247,Houndour,Dark,Fire,2,FALSE,2,2,1,2,2,1,1
712,Kyurem Black Kyurem,Dragon,Ice,5,TRUE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,1,1,1,1
486,Bronzong,Steel,Psychic,4,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,2,1,2,2
150,Omanyte,Rock,Water,1,FALSE,247,Houndour,Dark,Fire,2,FALSE,2,2,1,1,1,2,2
793,Xerneas,Fairy,,6,TRUE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,1,1,1,1
600,Sawk,Fighting,,5,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,2,1,1,1
407,Bagon,Dragon,,3,FALSE,247,Houndour,Dark,Fire,2,FALSE,2,1,1,2,2,2,2
89,Magnemite,Electric,Steel,1,FALSE,247,Houndour,Dark,Fire,2,FALSE,2,2,1,1,1,2,2
172,Typhlosion,Fire,,2,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,1,1,1,1
291,Beautifly,Bug,Flying,3,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,1,2,2,2
308,Surskit,Bug,Water,3,FALSE,247,Houndour,Dark,Fire,2,FALSE,2,2,1,2,1,2,2
116,Hitmonchan,Fighting,,1,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,2,1,1,1
132,Mr. Mime,Psychic,Fairy,1,FALSE,247,Houndour,Dark,Fire,2,FALSE,2,2,1,1,1,1,2
17,Weedle,Bug,Poison,1,FALSE,247,Houndour,Dark,Fire,2,FALSE,2,2,2,2,2,2,2
789,Bergmite,Ice,,6,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,2,2,2,2
115,Hitmonlee,Fighting,,1,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,2,1,1,1
762,Dragalge,Poison,Dragon,6,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,1,1,2,2
410,Mega Salamence,Dragon,Flying,3,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,1,1,1,1
465,Pachirisu,Electric,,4,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,2,1,2,1,1,1
741,Skiddo,Grass,,6,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,2,1,2,2
574,Simisear,Fire,,5,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,1,1,1,1
212,Espeon,Psychic,,2,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,1,1,1,2
127,Seadra,Water,,1,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,1,2,1,1
111,Exeggcute,Grass,Psychic,1,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,2,1,2,2,2,2
297,Seedot,Grass,,3,FALSE,247,Houndour,Dark,Fire,2,FALSE,2,2,1,2,2,2,2
348,Carvanha,Water,Dark,3,FALSE,247,Houndour,Dark,Fire,2,FALSE,2,1,2,2,2,2,2
280,Mega Blaziken,Fire,Fighting,3,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,1,1,1,1
515,Lickilicky,Normal,,4,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,2,1,2,2
693,Heatmor,Fire,,5,FALSE,247,Houndour,Dark,Fire,2,FALSE,1,1,1,1,1,2,2
